Epoch, start pdb, namestart rmsd, refine rmsd 
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7b2m_D/ranked_unrelax_0.pdb'], 1.1350, 1.1337
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7b2p_D/ranked_unrelax_0.pdb'], 1.1951, 1.1936
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7b2q_D/ranked_unrelax_0.pdb'], 1.5849, 1.5844
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7b5g_B/ranked_unrelax_0.pdb'], 2.5335, 2.5299
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7ndf_C/ranked_unrelax_0.pdb'], 1.2858, 1.2827
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7om4_B/ranked_unrelax_0.pdb'], 1.3389, 1.3341
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7omm_D/ranked_unrelax_0.pdb'], 2.0330, 2.0302
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7p2d_C/ranked_unrelax_0.pdb'], 1.0585, 1.0560
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7pa5_B/ranked_unrelax_0.pdb'], 2.5127, 2.5106
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7pqg_B/ranked_unrelax_0.pdb'], 1.6033, 1.5991
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7qbd_E/ranked_unrelax_0.pdb'], 1.3071, 1.3015
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7qbf_B/ranked_unrelax_0.pdb'], 2.5520, 2.5490
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7qe5_B/ranked_unrelax_0.pdb'], 1.9982, 1.9952
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7qiv_C/ranked_unrelax_0.pdb'], 1.2239, 1.2213
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7r74_D/ranked_unrelax_0.pdb'], 1.3025, 1.2988
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7rby_B/ranked_unrelax_0.pdb'], 1.2435, 1.2416
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7ri1_B/ranked_unrelax_0.pdb'], 0.7161, 0.7150
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7ri2_B/ranked_unrelax_0.pdb'], 0.8695, 0.8687
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7saj_B/ranked_unrelax_0.pdb'], 1.0924, 1.0904
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7sal_C/ranked_unrelax_0.pdb'], 1.1523, 1.1513
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7sqp_D/ranked_unrelax_0.pdb'], 0.9968, 0.9950
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7sr0_D/ranked_unrelax_0.pdb'], 0.9164, 0.9148
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7sr3_D/ranked_unrelax_0.pdb'], 0.9720, 0.9712
0, ['/pfs_beijing/luoyujie/new_trainer/openmultimer/0315_mr_pipeline32/af_v1m1/7sr5_B/ranked_unrelax_0.pdb'], 0.8707, 0.8697
